passenger_class,name,age,embarked,destination,sex,survive
1st,"Davidson,MrThornton",31,Southampton,"Montreal,PQ",male,no
1st,"Davidson,MrsThornton(OrianHays)",27,Southampton,"Montreal,PQ",female,yes
1st,"deVilliers,MadameBerthe",NA,Cherbourg,"BelgiumMontreal,PQ",female,yes
1st,"Dick,MrAlbertAdrian",31,Cherbourg,"Calgary,AB",male,yes
1st,"Dick,MrsAlbertAdrianVeraGillespie",17,Cherbourg,"Calgary,AB",female,yes
1st,"Dodge,Dr.Washington",NA,Southampton,"SanFrancisco,CA",male,yes
1st,"Dodge,MrsWashington(RuthVidaver)",NA,Southampton,"SanFrancisco,CA",female,yes
1st,"Dodge,MasterWashington",4,Southampton,"SanFrancisco,CA",male,yes
1st,"Douglas,MrsFrederickCharles(SuzetteBaxter)",27,Cherbourg,"Montreal,PQ",female,yes
1st,"Douglas,MrWalterDonald",50,Cherbourg,"Deephaven,MN/CedarRapids,IA",male,no
1st,"Douglas,MrsWalterDonald(MahalaDutton)",48,Cherbourg,"Deephaven,MN/CedarRapids,IA",female,yes
1st,"DuffGordon,SirCosmoEdmund",49,Cherbourg,London/Paris,male,yes
1st,"DuffGordon,Lady(LucilleWallaceSutherland)",48,Cherbourg,London/Paris,female,yes
1st,"Dulles,MrWilliamCrothers",39,Cherbourg,"Philadelphia,PA",male,no
1st,"Earnshaw,MrsBoulton(OlivePotter)",23,Cherbourg,"MtAiry,Philadelphia,PA",female,yes
1st,"Eustis,MissElizabethMussey",53,Cherbourg,"Brookline,MA",female,yes
1st,"Evans,MissEdithCorse",36,Cherbourg,"NewYork,NY",female,no
1st,"Flegenheim,MrsAlfred(Antoinette)",NA,Cherbourg,"NewYork,NY",female,yes
1st,"Flynn,MrJohnIrving",NA,Southampton,"Brooklyn,NY",male,yes
1st,"Foreman,MrBenjaminLaventall",30,Cherbourg,"NewYork,NY",male,no
1st,"Fortune,MissAliceElizabeth",24,Southampton,"Winnipeg,MB",female,yes
1st,"Fortune,MrCharlesAlexander",19,Southampton,"Winnipeg,MB",male,no
1st,"Fortune,MissEthelFlora",28,Southampton,"Winnipeg,MB",female,yes
1st,"Fortune,MissMabel",23,Southampton,"Winnipeg,MB",female,yes
1st,"Fortune,MrMark",64,Southampton,"Winnipeg,MB",male,no
1st,"Fortune,MrsMark(MaryMcDougald)",60,Southampton,"Winnipeg,MB",female,yes
1st,"Franklin,MrThomasParham",NA,Southampton,"Westcliff-on-Sea,Essex",male,no
1st,"Frauenthal,DrHenryWilliam",49,Cherbourg,"NewYork,NY",male,yes
1st,"Frauenthal,MrsHenryWilliam(ClaraHeinsheimer)",NA,Cherbourg,"NewYork,NY",female,yes
1st,"Frauenthal,MrIsaacGerald",44,Southampton,"NewYork,NY",male,yes
1st,"Frolicher,MissMarguerite",22,Cherbourg,"Zurich,Switzerland",female,yes
1st,"Frolicher-Stehli,MrMaxmillian",60,Cherbourg,"Zurich,Switzerland",male,yes
1st,"Frolicher-Stehli,MrsMaxmillian(MargarethaEmerentiaStehli)",48,Cherbourg,"Zurich,Switzerland",female,yes
1st,"Futrelle,MrJacques",37,Southampton,"Scituate,MA",male,no
1st,"Futrelle,MrsJacques(MayPeel)",35,Southampton,"Scituate,MA",female,yes
1st,"Gee,MrArthurH.",47,Southampton,"StAnne's-on-Sea,Lancashire",male,no
1st,"Gibson,MissDorothy",22,Cherbourg,"NewYork,NY",female,yes
1st,"Gibson,MrsLeonard(PaulineC.Boeson)",45,Cherbourg,"NewYork,NY",female,yes
1st,"Goldenberg,MrSamuelL.",49,Cherbourg,"Paris,France/NewYork,NY",male,yes
1st,"Goldenberg,MrsSamuelL.(EdwigaGrabowsko)",NA,Cherbourg,"Paris,France/NewYork,NY",female,yes
1st,"Goldschmidt,MrGeorgeB.",71,Cherbourg,"NewYork,NY",male,no
1st,"Gracie,ColonelArchibaldIV",54,Southampton,"Washington,DC",male,yes
1st,"Graham,MrGeorgeEdward",38,Southampton,"Winnipeg,MB",male,no
1st,"Graham,MissMargaretEdith",19,Southampton,"Greenwich,CT",female,yes
1st,"Graham,MrsWilliamThompson(EdithJunkins)",58,Southampton,"Greenwich,CT",female,yes
1st,"Greenfield,MrsLeoDavid(BlancheStrouse)",45,Cherbourg,"NewYork,NY",female,yes
1st,"Greenfield,MrWilliamBertram",23,Cherbourg,"NewYork,NY",male,yes
1st,"Guggenheim,MrBenjamin",46,Cherbourg,"NewYork,NY",male,no
1st,"Harder,MrGeorgeAchilles",25,Cherbourg,"Brooklyn,NY",male,yes
1st,"Harder,MrsGeorgeAchilles(DorothyAnnan)",21,Cherbourg,"Brooklyn,NY",female,yes
1st,"Harper,MrHenrySleeper",48,Cherbourg,"NewYork,NY",male,yes
1st,"Harper,MrsHenrySleeper(MynaHaxtun)",49,Cherbourg,"NewYork,NY",female,yes
1st,"Harris,MrHenryBirkhardt",45,Southampton,"NewYork,NY",male,no
1st,"Harris,MrsHenryBirkhardt(IreneWallach)",36,Southampton,"NewYork,NY",female,yes
1st,"Hawksford,MrWalterJames",NA,Southampton,"Kingston,Surrey",male,yes
1st,"Hays,MrCharlesMelville",55,Southampton,"Montreal,PQ",male,no
1st,"Hays,MrsCharlesMelville(ClaraJenningsGregg)",52,Southampton,"Montreal,PQ",female,yes
1st,"Hays,MissMargaretBechstein",24,Southampton,"NewYork,NY",female,yes
1st,"Head,MrChristopher",NA,Southampton,London/Middlesex,male,no
1st,"Hilliard,MrHerbertHenry",NA,Southampton,"Brighton,MA",male,no
1st,"Hipkins,MrWilliamEdward",NA,Southampton,London/Birmingham,male,no
1st,"Hippach,MissJeanGertrude",16,Cherbourg,"Chicago,IL",female,yes
1st,"Hippach,MrsLouisAlbert(IdaSophiaFischer)",44,Cherbourg,"Chicago,IL",female,yes
1st,"Hogeboom,MrsJohnC.(AnnaAndrews)",51,Southampton,"Hudson,NY",female,yes
1st,"Holverson,MrAlexanderOskar",42,Southampton,"NewYork,NY",male,no
1st,"Holverson,MrsAlexanderOskar(MaryAlineTowner)",35,Southampton,"NewYork,NY",female,yes
1st,"Homer,MrHarry",35,Cherbourg,"Indianapolis,IN",male,yes
1st,"Hoyt,MrFrederickMaxfield",38,Southampton,"NewYork,NY/StamfordCT",male,yes
1st,"Hoyt,MrsFrederickMaxfield(JaneAnneForby)",35,Southampton,"NewYork,NY/StamfordCT",female,yes
1st,"Hoyt,MrWilliamF.",NA,Cherbourg,"NewYork,NY",male,no
1st,"Isham,MissAnneElizabeth",50,Cherbourg,"Paris,FranceNewYork,NY",female,no
1st,"Ismay,MrJosephBruce",49,Southampton,Liverpool,male,yes
1st,"Jones,MrCharlesCresson",46,Southampton,"Bennington,VT",male,no
1st,"Julian,MrHenryForbes",NA,Southampton,London,male,no
1st,"Kent,MrEdwardAustin",58,Cherbourg,"Buffalo,NY",male,no
1st,"Kenyon,MrFrederickR.",41,Southampton,"Southington/Noank,CT",male,no
1st,"Kenyon,MrsFrederickR.(Marion)",NA,Southampton,"Southington/Noank,CT",female,yes
1st,"Kimball,MrEdwinNelsonJr.",42,Southampton,"Boston,MA",male,yes
1st,"Kimball,MrsEdwinNelsonJr.(GertrudeParsons)",40,Southampton,"Boston,MA",female,yes
1st,"Klaber,MrHerman",NA,Southampton,"Portland,OR",male,no
1st,"Leader,DrAliceFarnham",NA,Southampton,"NewYork,NY",female,yes
1st,"Lewy,MrErvinG.",NA,Cherbourg,"Chicago,IL",male,no
1st,"Lindeberg-Lind,MrErikGustaf",42,Southampton,"Stockholm,Sweden",male,no
1st,"Lindstrom,MrsCarlJohan(SigridPosse)",55,Cherbourg,"Stockholm,Sweden",female,yes
1st,"Lines,MrsErnestH.(ElizabethLindseyJames)",50,Cherbourg,"Paris,France",female,yes
1st,"Lines,MissMaryConover",16,Cherbourg,"Paris,France",female,yes
1st,"Lingrey,MrEdward",NA,NA,NA,male,no
1st,"Long,MrMiltonClyde",29,Southampton,"Springfield,MA",male,no
1st,"Longley,MissGretchenFiske",21,Southampton,"Hudson,NY",female,yes
1st,"Loring,MrJosephHolland",30,Southampton,"London/NewYork,NY",male,no
1st,"Madill,MissGeorgetteAlexandra",15,Southampton,"StLouis,MO",female,yes
1st,"Maguire,MrJohnEdward",30,Southampton,"Brockton,MA",male,no
1st,"Marechal,MrPierre",NA,Cherbourg,"Paris,France",male,yes
1st,"Marvin,MrDanielWarner",NA,Southampton,"NewYork,NY",male,no
1st,"Marvin,MrsDanielWarner(MaryGrahamCarmichaelFarquarson)",NA,Southampton,"NewYork,NY",female,yes
1st,"McCaffry,MrThomasFrancis",46,Cherbourg,"Vancouver,BC",male,no
1st,"McCarthy,MrTimothyJ.",54,Southampton,"Dorchester,MA",male,no
1st,"McGough,MrJamesR.",36,Southampton,"Philadelphia,PA",male,yes
1st,"Meyer,MrEdgarJoseph",28,Cherbourg,"NewYork,NY",male,no
1st,"Meyer,MrsEdgarJoseph(LeilaSaks)",NA,Cherbourg,"NewYork,NY",female,yes
1st,"Millet,MrFrancisDavis",65,Southampton,"EastBridgewater,MA",male,no
1st,"Minahan,MissDaisyE.",33,Queenstown,"GreenBay,WI",female,yes
1st,"Minahan,DrWilliamEdward",44,Queenstown,"FondduLac,WI",male,no
1st,"Minahan,MrsWilliamEdward(LillianE.Thorpe)",37,Queenstown,"FondduLac,WI",female,yes
1st,"Mock,MrPhilipE.",NA,Cherbourg,"NewYork,NY",male,yes
1st,"Molson,MrHarryMarkland",55,Southampton,"Montreal,PQ",male,no
1st,"Moore,MrClarenceBloomfield",47,Southampton,"Washington,DC",male,no
1st,"Natsch,MrCharlesH.",36,Cherbourg,"Brooklyn,NY",male,no
1st,"Newell,MrArthurWebster",58,Cherbourg,"Lexington,MA",male,no
1st,"Newell,MissMadeleine",31,Cherbourg,"Lexington,MA",female,yes
1st,"Newell,MissMarjorie",23,Cherbourg,"Lexington,MA",female,yes
1st,"Newsom,MissHelenMonypeny",19,Southampton,"NewYork,NY",female,yes
1st,"Nicholson,MrArthurErnest",64,Southampton,"IsleofWight,England",male,no
1st,"Omont,MrA.Fernand",NA,Cherbourg,"Paris,France",male,yes
1st,"Ostby,MrEngelhartCornelius",64,Cherbourg,"Providence,RI",male,no
1st,"Ostby,MissHelenRaghnild",22,Cherbourg,"Providence,RI",female,yes
1st,"OviesyRodriguez,MrServando",28,NA,"?Havana,Cuba",male,no
1st,"Parr,MrWilliamHenryMarsh",NA,NA,Belfast,male,no
1st,"Partner,MrAustin",NA,Southampton,"SurbitonHill,Surrey",male,no
1st,"Payne,MrVivianPonsonby",22,Southampton,"Montreal,PQ",male,no
1st,"Pears,MrThomas",NA,Southampton,"Isleworth,England",male,no
1st,"Pears,MrsThomas(Edith)",NA,Southampton,"Isleworth,England",female,yes
1st,"Penasco,MrVictordeSatode",18,Cherbourg,"Madrid,Spain",male,no
1st,"Penasco,MrsVictordeSatode(JosefadeSoto)",17,Cherbourg,"Madrid,Spain",female,yes
1st,"Peuchen,MajorArthurGodfrey",52,Southampton,"Toronto,ON",male,yes
1st,"Porter,MrWalterChamberlain",46,Southampton,"Worcester,MA",male,no
1st,"Potter,MrsThomas,Jr.(LilyAlexeniaWilson)",56,Cherbourg,"MtAiry,Philadelphia,PA",female,yes
1st,"Reuchlin,JonkheerJohnGeorge",NA,Southampton,"Rotterdam,Netherlands",male,no
1st,"Rheims,MrGeorgeLucien",NA,Cherbourg,"Paris/NewYork,NY",male,yes
1st,"Robert,MrsEdwardScott(ElisabethWaltonMcMillan)",43,Southampton,"StLouis,MO",female,yes
1st,"Roebling,MrWashingtonAugustus2nd",31,Southampton,"Trenton,NJ",male,no
1st,"Romaine,MrCharlesHallace",NA,Southampton,"NewYork,NY",male,yes
1st,"Rood,MrHughR.",NA,Southampton,"Seattle,WA",male,no
1st,"Rosenbaum(Russell),MissEdithLouise",33,Cherbourg,"Paris,France",female,yes
1st,"Ross,MrJohnHugo",NA,Cherbourg,"Winnipeg,MB",male,no
1st,"Rothes,theCountessof(NoelLucyMarthaDyer-Edwardes)",27,Southampton,"LondonVancouver,BC",female,yes
1st,"Rothschild,MrMartin",55,Cherbourg,"NewYork,NY",male,no
1st,"Rothschild,MrsMartin(ElizabethL.Barrett)",54,Cherbourg,"NewYork,NY",female,yes
1st,"Rowe,MrAlfredG.",NA,Southampton,London,male,no
1st,"Ryerson,MrArthurLarned",61,Cherbourg,"Haverford,PA/Cooperstown,NY",male,no
1st,"Ryerson,MrsArthurLarned(EmilyMariaBorie)",48,Cherbourg,"Haverford,PA/Cooperstown,NY",female,yes
1st,"Ryerson,MissEmilyBorie",18,Cherbourg,"Haverford,PA/Cooperstown,NY",female,yes
1st,"Ryerson,MasterJohnBorie",13,Cherbourg,"Haverford,PA/Cooperstown,NY",male,yes
1st,"Ryerson,MissSusan(Suzette)Parker",21,Cherbourg,"Haverford,PA/Cooperstown,NY",female,yes
1st,"Saalfeld,MrAdolphe",NA,Southampton,"Manchester,England",male,yes
1st,"Salomon,MrAbrahamL.",NA,Southampton,"NewYork,NY",male,yes
1st,"Schabert,MrsPaul(EmmaMock)",NA,Cherbourg,"NewYork,NY",female,yes
1st,"Seward,MrFredericKimber",34,Southampton,"NewYork,NY",male,yes
1st,"Shutes,MissElizabethW.",40,Southampton,"NewYork,NY/GreenwichCT",female,yes
1st,"Silverthorne,MrSpencerVictor",36,Southampton,"StLouis,MO",male,yes
1st,"Silvey,MrWilliamBaird",50,NA,"Duluth,MN",male,no
1st,"Silvey,MrsWilliamBaird(AliceMunger)",39,NA,"Duluth,MN",female,yes
1st,"Simonius-Blumer,ColAlfons",56,NA,"Basel,Switzerland",male,yes
1st,"Sloper,MrWilliamThompson",28,Southampton,"NewBritain,CT",male,yes
1st,"Smart,MrJohnMontgomery",56,Southampton,"NewYork,NY",male,no
1st,"Smith,MrJamesClinch",56,Cherbourg,"StJames,LongIsland,NY",male,no
1st,"Smith,MrLucienPhilip",24,Southampton,"Huntington,WV",male,no
1st,"Smith,MrsLucienPhilip(MaryEloiseHughes",18,Southampton,"Huntington,WV",female,yes
1st,"Smith,MrRichardWilliam",NA,Southampton,"Streatham,Surrey",male,no
1st,"Snyder,MrJohnPillsbury",24,Southampton,"Minneapolis,MN",male,yes
1st,"Snyder,MrsJohnPillsbury(NelleStevenson)",23,Southampton,"Minneapolis,MN",female,yes
1st,"Spedden,MrFrederickOakley",45,Cherbourg,"TuxedoPark,NY",male,yes
1st,"Spedden,MrsFrederickOakley(MargarettaCorningStone)",40,Cherbourg,"TuxedoPark,NY",female,yes
1st,"Spedden,MasterRobertDouglas",6,Cherbourg,"TuxedoPark,NY",male,yes
1st,"Spencer,MrWilliamAugustus",57,Cherbourg,"Paris,France",male,no
1st,"Spencer,MrsWilliamAugustus(MarieEugenie)",NA,Cherbourg,"Paris,France",female,yes
1st,"Staehlin,DrMax",32,Cherbourg,"Basel,Switzerland",male,yes
1st,"Stead,MrWilliamThomas",62,Southampton,"WimbledonPark,London/HaylingIsland,Hants",male,no
1st,"Stengel,MrCharlesEmilHenry",54,Cherbourg,"Newark,NJ",male,yes
1st,"Stengel,MrsCharlesEmilHenry(AnnieMayMorris)",43,Cherbourg,"Newark,NJ",female,yes
1st,"Stephenson,MrsWalterBertram(MarthaEustis)",52,NA,"Haverford,PA",female,yes
1st,"Stewart,MrAlbertA.",NA,Cherbourg,"Gallipolis,Ohio/?Paris/NewYork",male,no
1st,"Stone,MrsGeorgeNelson(MarthaE.)",62,NA,"Cincinatti,OH",female,yes
1st,"Straus,MrIsidor",67,Southampton,"NewYork,NY",male,no
1st,"Straus,MrsIsidor(IdaBlun)",63,Southampton,"NewYork,NY",female,no
1st,"Sutton,MrFrederick",61,Southampton,"Haddenfield,NJ",male,no
1st,"Swift,MrsFrederickJoel(MargaretWellesBarron)",46,Southampton,"Brooklyn,NY",female,yes
1st,"Taussig,MrEmil",52,Southampton,"NewYork,NY",male,no
1st,"Taussig,MrsEmil(TillieMandelbaum)",39,Southampton,"NewYork,NY",female,yes
1st,"Taussig,MissRuth",18,Southampton,"NewYork,NY",female,yes
1st,"Taylor,MrElmerZebley",48,Southampton,"London/EastOrange,NJ",male,yes
1st,"Taylor,MrsElmerZebley(JulietCumminsWright)",NA,Southampton,"London/EastOrange,NJ",female,yes
1st,"Thayer,MrJohnBorland",49,Cherbourg,"Haverford,PA",male,no
1st,"Thayer,MrsJohnBorland(MarianLongstrethMorris)",39,Cherbourg,"Haverford,PA",female,yes
1st,"Thayer,MrJohnBorland,jr.",17,Cherbourg,"Haverford,PA",male,yes
1st,"Thorne,MrGeorge(aliasof:MrGeorgeRosenshine)",46,Cherbourg,"NewYork,NY",male,no
1st,"Thorne,MrsGertrudeMaybelle",NA,Cherbourg,"NewYork,NY",female,yes
1st,"Tucker,MrGilbertMilligan,jr",31,Cherbourg,"Albany,NY",male,yes
1st,"Uruchurtu,MrManuelE.",NA,Cherbourg,"MexicoCity,Mexico",male,no
1st,"VanDerhoef,MrWyckoff",61,Southampton,"Brooklyn,NY",male,no
1st,"Walker,MrWilliamAnderson",47,Southampton,"EastOrange,NJ",male,no
1st,"Warren,MrFrankManley",64,Cherbourg,"Portland,OR",male,no
1st,"Warren,MrsFrankManley(AnnaS.Atkinson)",60,Cherbourg,"Portland,OR",female,yes
1st,"Weir,ColJohn",60,Southampton,"EnglandSaltLakeCity,Utah",male,no
1st,"White,MrsJ.Stuart(EllaHolmes)",55,Cherbourg,"NewYork,NY/BriarcliffManorNY",female,yes
1st,"White,MrPercivalWayland",54,Southampton,"Brunswick,ME",male,no
1st,"White,MrRichardFrasar",21,Southampton,"Brunswick,ME",male,no
1st,"Wick,MrGeorgeDennick",57,Southampton,"Youngstown,OH",male,no
1st,"Wick,MrsGeorgeDennick(MarthaHitchcock)",45,Southampton,"Youngstown,OH",female,yes
1st,"Wick,MissMaryNatalie",31,Southampton,"Youngstown,OH",female,yes
1st,"Widener,MrGeorgeDunton",50,Cherbourg,"ElkinsPark,PA",male,no
1st,"Widener,MrsGeorgeDunton(EleanorElkins)",50,Cherbourg,"ElkinsPark,PA",female,yes
1st,"Widener,MrHarryElkins",27,Cherbourg,"ElkinsPark,PA",male,no
1st,"Willard,MissConstance",20,Southampton,"Duluth,MN",female,yes
1st,"Williams,MrCharlesDuane",51,Cherbourg,"Geneva,Switzerland/Radnor,PA",male,no
1st,"Williams,MrFletcherLambert",NA,Southampton,"London,England",male,no
1st,"Williams,MrRichardNorrisII",21,Cherbourg,"Geneva,Switzerland/Radnor,PA",male,yes
1st,"Woolner,MrHugh",NA,Southampton,"London,England",male,yes
1st,"Wright,MrGeorge",NA,Southampton,"Halifax,NS",male,no
1st,"Young,MissMarieGrice",36,Cherbourg,"NewYork,NY/Washington,DC",female,yes
1st,"Barber,Ms",NA,Southampton,NA,female,yes
1st,"Bazzani,MsAlbina",NA,Cherbourg,NA,female,yes
1st,"Bidois,MissRosalie",NA,Cherbourg,NA,female,yes
1st,"Bird,MsEllen",NA,Southampton,NA,female,yes
1st,"Bissetti,MsAmelia",NA,Cherbourg,NA,female,yes
1st,"Burns,MsElizabethMargaret",NA,Cherbourg,NA,female,yes
1st,"Chaudanson,Ms",NA,NA,Cherbourg,female,yes
1st,"Cleaver,MsAlice",NA,Southampton,NA,female,yes
1st,"Daniels,MsSarah",NA,Southampton,NA,female,yes
1st,"Endres,MissCarolineLouise",NA,Cherbourg,"NewYork,NY",female,yes
1st,"Farthing,MrJohn",NA,Southampton,NA,male,no
1st,"Fleming,MsMargaret",NA,Cherbourg,NA,female,no
1st,"Francatelli,MsLauraMabel",NA,Cherbourg,NA,female,yes
1st,"Fry,MrRichard",NA,Southampton,NA,male,no
1st,"Geiger,MissEmily",NA,Cherbourg,NA,female,yes
1st,"Giglio,MrVictor",NA,Cherbourg,NA,male,no
1st,"Harrington,MrCharles",NA,Southampton,NA,male,no
1st,"Harrison,MrWilliam",40,Southampton,NA,male,no
1st,"Hassah,MrHamad",NA,Cherbourg,NA,male,no
1st,"Icabad(Icabod),Ms",NA,NA,NA,female,yes
1st,"Keeping,MrEdwin",32,Cherbourg,NA,male,no
1st,"Kenchen,MsAmelia",NA,Southampton,NA,female,yes
1st,"LeRoy,MissBerthe",NA,Cherbourg,NA,female,yes
1st,"Lesneur,MrGustave",NA,Cherbourg,NA,male,no
1st,"Maloney,Ms",NA,Southampton,NA,female,yes
1st,"Oliva,Mlle",NA,Cherbourg,NA,female,no
